,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Vs Dribbles Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Past_p90 (defense_Padj_p90),Press_p90 (defense_Padj_p90),Succ Pressures_p90 (defense_Padj_p90),Pressures Def 3rd_p90 (defense_Padj_p90),Pressures Mid 3rd_p90 (defense_Padj_p90),Pressures Att 3rd_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),ShSv_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),Drib_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types Drib_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),AvgDist_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),TotDist Passed_p90 (passing_p90),PrgDist Passed_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xA_p90 (passing_p90),A-xA_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),CrsPA_p90 (passing_p90),Prog Passes_p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Press_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Ground_p90 (passing_types_p90),Low_p90 (passing_types_p90),High_p90 (passing_types_p90),Left_p90 (passing_types_p90),Right_p90 (passing_types_p90),Head_p90 (passing_types_p90),TI_p90 (passing_types_p90),Other_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Outcomes Out_p90 (passing_types_p90),Int_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),#Pl_p90 (possession_p90),Megs_p90 (possession_p90),Carries_p90 (possession_p90),TotDist Carried_p90 (possession_p90),PrgDist Carried_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Targ_p90 (possession_p90),Rec_p90 (possession_p90),Receiving Prog_p90 (possession_p90),Prog Actions (possession_p90),Prog Actions_p90 (possession_p90),KP_p90 (possession_p90),Passes into Final 1/3_p90 (possession_p90),Passes into Penalty Area_p90 (possession_p90),Prog Passes_p90 (possession_p90),xA_p90 (possession_p90),Prog Passes_p90 per 50 passes (possession_p90),Prog Carries_p90 per 100 touches (possession_p90),True Interceptions_p90 (possession_p90),Gls_p90 (possession_p90),Sh_p90 (possession_p90),SoT_p90 (possession_p90),Average Shot Distance (yards) (possession_p90),npxG_p90 (possession_p90),npxG/Shot (possession_p90),Press_p90 (possession_p90),Succ Pressures_p90 (possession_p90),Shots Blocked_p90 (possession_p90),Aerial Win % (possession_p90),% of Dribblers Tackled (possession_p90),Padj Tkl+Int p90 (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),Dist_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),TMPosition
1224,1224,1225.0,Borja Iglesias,ESP,FW,Betis,La Liga,29.0,1993.0,17.5,0.34,0.23,0.06,0.06,0.23,0.11,0.46,0.34,14.91,2.63,0.8,5.6,8.51,0.51,0.06,0.0,0.46,0.4,0.74,0.29,0.0,0.89,1.89,1.43,0.06,0.0,0.11,0.23,0.06,0.23,0.06,0.0,0.0,0.0,0.11,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.0,0.0,1.49,1.89,0.46,0.34,0.4,0.23,0.11,0.0,0.0,2.74,1.37,2.97,13.89,19.49,210.57,30.97,7.89,10.34,4.0,5.26,1.09,1.94,0.0,0.18,-0.18,0.91,0.46,0.69,0.06,1.03,19.49,17.54,1.94,0.06,0.17,4.29,0.69,0.34,0.06,0.0,0.0,0.0,13.49,3.49,2.51,3.14,14.34,0.91,0.11,0.17,13.89,0.0,0.29,1.14,0.63,90.0,2.58,1.01,2.58,0.99,0.0,0.0,0.03,0.04,1.07,1.3,-0.23,0.04,1.03,1.18,-0.15,0.02,29.66,0.34,1.6,13.49,15.77,5.43,27.66,0.63,1.77,0.91,0.11,18.91,81.14,34.69,2.11,0.57,0.8,2.34,1.66,40.51,22.69,6.4,55.0,3.14,0.91,0.46,0.69,1.03,0.18,3.71,7.11,0.91,0.57,2.17,0.97,14.8,0.35,0.16,14.91,2.63,0.06,31.6,25.0,0.89,0.57,2.17,0.97,0.01,0.02,0.85,0.0,0.17,0.17,0.49,0.35,0.01,0.09,0.05,Centre-Forward
1715,1715,1716.0,Borja Mayoral,ESP,FW,Getafe,La Liga,25.0,1997.0,11.6,0.69,0.43,0.09,0.43,0.17,0.26,0.26,0.0,13.62,3.02,1.21,5.78,6.64,1.29,0.34,0.0,0.95,0.78,1.47,0.26,0.0,0.9,2.33,1.98,0.0,0.17,0.17,0.0,0.0,0.52,0.34,0.0,0.09,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.0,0.0,1.12,1.9,0.34,0.6,0.78,0.43,0.0,0.0,0.0,4.91,1.98,3.62,16.72,21.72,254.05,45.69,10.0,11.81,3.88,5.52,1.9,2.33,0.09,0.09,-0.01,1.03,0.95,0.52,0.26,1.21,21.72,20.6,1.12,0.09,0.09,7.59,0.6,0.6,0.0,0.0,0.0,0.0,15.6,2.59,3.53,3.36,15.34,1.12,0.0,0.17,16.72,0.0,0.09,0.69,0.78,,,,,,,,inf,,,,,,,,,,33.1,0.69,2.67,17.59,14.66,4.31,31.98,1.21,2.59,1.29,0.09,22.5,101.12,47.33,2.5,0.78,0.52,2.59,1.64,38.36,23.02,6.03,43.0,3.71,1.03,0.95,0.52,1.21,0.09,3.62,7.55,2.0700000000000003,0.52,1.38,0.52,15.8,0.17,0.12,13.62,3.02,0.34,35.4,100.0,0.9,0.52,1.38,0.52,0.03,0.07,1.36,0.0,0.09,0.09,0.23,0.17,0.01,0.28,0.26,Centre-Forward
2535,2535,2536.0,Borna Sosa,CRO,DF,Stuttgart,Bundesliga,24.0,1998.0,27.8,1.19,0.54,0.79,0.29,0.11,0.5,1.04,0.54,9.06,2.99,4.42,2.81,1.83,1.69,0.18,0.04,1.51,1.33,2.52,1.83,0.0,2.67,3.71,2.3,0.94,0.11,0.14,0.18,0.04,0.47,0.36,0.07,0.0,0.0,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.0,0.0,0.54,1.04,0.0,4.89,1.33,0.54,0.0,0.0,0.0,7.34,0.86,0.94,47.16,64.24,863.56,373.38,22.01,25.29,18.49,24.1,6.08,12.7,0.29,0.21,0.08,2.19,3.45,2.09,1.04,6.26,64.24,50.47,13.78,2.55,0.07,7.88,2.55,4.89,2.41,0.43,1.83,0.04,34.5,13.49,16.26,49.24,3.2,2.23,8.81,0.11,47.16,0.14,1.01,2.7,2.05,92.22,18.89,0.0,0.0,0.0,5.56,18.89,11.11,0.67,1.11,2.22,-1.11,-1.41,0.78,1.11,-0.33,-0.51,73.6,2.99,18.42,33.53,27.45,1.37,60.29,1.22,1.83,1.26,0.11,45.0,265.0,166.65,7.59,2.16,0.43,1.04,0.72,50.07,45.4,3.53,385.0,13.85,2.19,3.45,2.09,6.26,0.21,6.64,10.31,3.02,0.04,0.9,0.22,22.0,0.03,0.03,9.06,2.99,0.18,48.0,48.3,2.67,0.04,0.9,0.22,0.0,0.01,0.79,0.07,0.0,0.0,0.03,0.03,0.0,0.0,0.0,Left-Back
2592,2592,2593.0,Bosko Sutalo,CRO,DF,Hellas Verona,Serie A,22.0,2000.0,10.2,2.35,0.88,1.37,0.69,0.29,1.08,1.57,0.49,15.49,5.0,7.94,6.08,1.47,1.96,0.59,0.0,1.37,3.04,5.39,4.12,0.0,5.63,0.69,0.49,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.18,0.98,0.1,0.78,3.04,0.88,0.0,0.0,0.0,11.86,3.24,2.35,37.55,47.75,701.57,223.92,16.67,19.8,13.73,16.67,6.18,9.51,0.0,0.01,-0.01,0.2,2.06,0.39,0.29,2.94,47.75,43.43,4.31,1.18,0.0,6.47,1.27,0.78,0.0,0.0,0.0,0.0,29.9,7.84,10.0,5.59,33.33,3.82,3.14,0.2,37.55,0.0,1.18,1.76,0.88,90.28,3.15,0.83,7.04,0.28,1.85,1.39,0.83,0.07,1.02,1.67,-0.65,0.03,1.32,1.88,-0.56,0.0,60.1,6.76,25.98,28.43,8.63,0.98,55.88,0.78,1.57,0.88,0.0,34.22,185.0,83.24,2.94,0.59,0.2,0.49,0.39,34.22,30.78,0.69,60.0,5.88,0.2,2.06,0.39,2.94,0.01,3.91,4.89,5.0,0.0,0.49,0.1,16.8,0.03,0.05,15.49,5.0,0.59,57.9,68.8,5.63,0.0,0.49,0.1,0.0,0.0,1.65,0.0,0.0,0.0,0.03,0.03,0.0,-0.03,-0.03,Centre-Back
1335,1335,1336.0,Boubacar Kamara,FRA,"MF,DF",Marseille,Ligue 1,22.0,1999.0,30.9,2.62,1.78,1.26,1.2,0.16,0.78,1.68,0.91,14.98,5.95,5.5,7.31,2.17,1.36,0.42,0.0,0.94,2.1,4.72,1.97,0.0,7.27,1.42,1.1,0.03,0.03,0.1,0.13,0.03,0.06,0.0,0.0,0.0,0.03,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.0,0.0,1.42,1.46,0.0,0.39,2.1,1.78,0.03,0.03,0.0,8.93,1.65,1.36,71.33,78.51,1288.12,292.88,33.27,35.08,28.09,30.1,8.54,11.17,0.0,0.05,-0.05,0.61,5.92,0.49,0.1,4.11,78.51,75.83,2.69,1.72,0.16,11.84,2.59,0.39,0.0,0.0,0.0,0.0,63.01,6.08,9.42,9.9,64.5,1.78,0.97,0.26,71.33,0.06,1.0,1.52,0.68,89.92,2.65,1.08,3.04,0.35,0.23,0.77,0.0,0.04,1.15,1.5,-0.35,0.03,1.16,1.2,-0.04,0.03,88.87,3.2,22.91,55.7,14.14,1.36,86.41,0.45,0.65,0.49,0.1,59.87,235.31,112.01,4.17,0.91,0.06,0.45,0.91,70.97,68.16,1.91,256.0,8.280000000000001,0.61,5.92,0.49,4.11,0.05,2.88,4.69,3.46,0.03,0.71,0.1,19.5,0.04,0.05,14.98,5.95,0.42,54.8,46.2,7.27,0.03,0.71,0.1,0.0,0.01,0.63,0.0,0.0,0.0,0.04,0.04,0.0,-0.0,-0.0,Defensive Midfield
2695,2695,2696.0,Boubacar Traoré,MLI,MF,Metz,Ligue 1,20.0,2001.0,19.2,2.86,2.08,0.99,1.41,0.47,0.62,1.93,1.3,29.22,8.02,8.02,17.71,3.49,1.82,0.42,0.0,1.41,1.61,4.48,0.94,0.0,3.03,1.88,1.41,0.0,0.21,0.0,0.05,0.21,0.1,0.05,0.0,0.05,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.05,0.05,3.07,1.04,0.0,0.05,1.61,2.08,0.0,0.0,0.0,9.74,0.99,0.52,32.4,38.75,670.26,160.68,10.78,12.55,15.89,17.76,5.26,7.24,0.05,0.06,-0.01,0.73,2.5,0.42,0.0,3.49,38.75,37.76,0.99,0.99,0.16,7.03,1.3,0.05,0.0,0.0,0.0,0.0,30.78,3.12,4.84,1.15,35.21,1.2,0.0,0.26,32.4,0.16,0.47,1.77,0.68,89.96,2.8,1.11,3.13,0.45,0.21,1.03,0.16,0.07,1.77,1.03,0.74,0.03,1.55,1.01,0.54,0.01,50.36,1.3,12.55,34.58,7.14,0.26,49.53,1.3,2.03,1.41,0.1,35.31,197.55,104.53,4.22,1.04,0.05,1.35,1.56,34.74,30.94,0.78,148.0,7.71,0.73,2.5,0.42,3.49,0.06,5.39,8.38,3.43,0.05,1.15,0.26,27.4,0.04,0.04,29.22,8.02,0.42,65.5,32.4,3.03,0.05,1.15,0.26,0.0,0.01,1.43,0.0,0.0,0.0,0.04,0.04,0.0,0.01,0.01,Central Midfield
1425,1425,1426.0,Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,25.0,1997.0,29.6,3.31,1.62,2.16,1.11,0.03,1.42,2.7,1.28,12.97,4.53,8.24,4.26,0.47,2.74,1.25,0.0,1.49,3.34,6.66,7.97,0.03,4.51,0.41,0.24,0.0,0.03,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.03,0.0,1.39,1.08,0.24,0.0,3.34,1.62,0.0,0.03,0.0,8.65,3.65,1.52,31.59,37.7,712.91,193.92,6.99,8.11,18.28,20.24,5.91,8.31,0.0,0.0,-0.0,0.1,1.01,0.03,0.0,1.42,37.7,36.66,1.05,0.91,0.03,2.87,1.08,0.0,0.0,0.0,0.0,0.0,27.26,3.68,6.76,10.98,22.36,2.87,0.14,0.14,31.59,0.1,0.61,0.71,0.54,89.97,2.73,1.02,2.73,0.96,0.0,0.0,0.0,0.02,0.62,2.17,-1.55,0.01,0.86,1.99,-1.13,0.0,56.22,10.74,36.11,21.05,1.79,1.01,55.34,0.2,0.41,0.24,0.0,27.5,161.72,72.36,1.45,0.1,0.0,0.34,0.14,28.24,27.64,0.03,85.0,2.87,0.1,1.01,0.03,1.42,0.0,2.25,2.58,6.08,0.03,0.74,0.17,14.1,0.06,0.08,12.97,4.53,1.25,70.6,52.5,4.51,0.03,0.74,0.17,0.0,0.01,0.48,0.0,0.0,0.0,0.06,0.06,0.0,-0.03,-0.03,Centre-Back
2543,2543,2544.0,Boubakary Soumaré,FRA,MF,Leicester City,Premier League,23.0,1999.0,12.2,1.97,1.07,0.82,0.82,0.33,0.49,1.48,0.98,20.49,5.08,7.54,10.33,2.62,1.07,0.16,0.0,0.9,1.39,3.36,1.56,0.0,3.71,1.23,0.98,0.0,0.16,0.0,0.0,0.08,0.16,0.16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.64,1.72,0.0,0.41,1.39,1.07,0.0,0.0,0.0,8.85,2.38,1.15,36.8,45.16,641.07,152.87,16.23,19.59,16.15,18.36,3.52,5.74,0.08,0.03,0.05,0.41,2.54,0.49,0.08,3.2,45.16,44.84,0.33,0.25,0.25,10.57,0.74,0.41,0.0,0.0,0.0,0.0,33.69,4.92,6.56,7.95,32.62,2.21,0.08,0.16,36.8,0.08,0.57,1.8,0.66,88.0,44.0,1.0,75.0,0.0,1.0,13.0,8.0,2.0,2.0,1.0,1.0,1.48,1.8,1.1,0.6,0.95,56.72,2.95,15.49,33.28,10.74,0.57,56.48,0.74,1.48,0.82,0.08,36.97,158.85,65.82,2.95,0.57,0.08,1.23,1.64,44.92,40.0,1.72,75.0,6.15,0.41,2.54,0.49,3.2,0.03,4.35,5.2,2.46,0.0,0.49,0.16,17.4,0.03,0.07,20.49,5.08,0.16,67.4,33.3,3.71,0.0,0.49,0.16,0.0,0.0,1.43,0.0,0.0,0.0,0.03,0.03,0.01,-0.03,-0.03,Defensive Midfield
694,694,695.0,Boulaye Dia,SEN,FW,Villarreal,La Liga,25.0,1996.0,14.1,0.71,0.64,0.21,0.28,0.21,0.07,0.35,0.28,14.89,3.97,1.56,5.53,7.8,0.78,0.07,0.0,0.71,0.64,1.35,0.28,0.0,1.89,2.27,1.7,0.0,0.21,0.14,0.0,0.21,0.5,0.35,0.0,0.07,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.0,0.0,1.63,1.35,0.5,0.5,0.64,0.64,0.0,0.0,0.0,2.77,2.27,2.77,13.83,18.23,200.64,26.6,7.23,9.22,4.89,5.96,0.57,1.13,0.35,0.13,0.22,1.21,0.28,0.21,0.0,0.85,18.23,17.16,1.06,0.0,0.07,7.02,0.14,0.5,0.0,0.0,0.0,0.0,14.04,2.2,1.99,1.7,13.97,0.57,0.0,0.28,13.83,0.21,0.21,1.06,0.43,90.12,2.43,1.04,2.54,0.44,0.06,0.56,0.0,0.05,1.51,1.24,0.27,-0.03,1.33,1.06,0.27,0.0,29.29,0.28,2.98,12.91,15.11,6.24,28.23,0.92,1.63,0.92,0.0,19.43,96.1,44.04,1.91,0.5,0.64,2.62,1.77,39.15,21.84,8.44,39.0,2.76,1.21,0.28,0.21,0.85,0.13,3.07,6.52,1.42,0.35,2.62,0.78,14.1,0.35,0.14,14.89,3.97,0.07,45.1,20.0,1.89,0.35,2.62,0.78,0.01,0.03,1.0,0.0,0.0,0.0,0.35,0.35,0.01,0.0,0.0,Centre-Forward
2406,2406,2407.0,Bouna Sarr,SEN,DF,Bayern Munich,Bundesliga,30.0,1992.0,0.7,5.71,2.86,2.86,1.43,1.43,4.29,5.71,1.43,15.71,8.57,7.14,7.14,1.43,5.71,1.43,0.0,4.29,4.29,10.0,0.0,0.0,16.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.57,4.29,2.86,0.0,0.0,0.0,12.86,1.43,2.86,42.86,62.86,771.43,201.43,14.29,22.86,27.14,31.43,1.43,5.71,0.0,0.0,0.0,0.0,1.43,0.0,0.0,4.29,62.86,55.71,7.14,0.0,0.0,10.0,2.86,8.57,0.0,0.0,0.0,0.0,45.71,14.29,2.86,10.0,44.29,0.0,7.14,0.0,42.86,0.0,2.86,4.29,1.43,,,,,,,,inf,,,,,,,,,,85.71,2.86,25.71,34.29,31.43,7.14,78.57,0.0,5.71,4.29,1.43,47.14,250.0,108.57,7.14,2.86,1.43,0.0,0.0,50.0,44.29,5.71,8.0,11.43,0.0,1.43,0.0,4.29,0.0,5.0,8.33,10.0,0.0,1.43,0.0,14.0,0.0,0.05,15.71,8.57,1.43,33.3,75.0,16.29,0.0,1.43,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,Right-Back
200,200,201.0,Bradley Barcola,FRA,"FW,MF",Lyon,Ligue 1,19.0,2002.0,2.9,2.41,1.72,0.69,1.03,0.69,0.69,2.07,1.38,26.9,6.21,6.9,10.34,9.66,2.07,0.34,0.0,1.72,1.72,4.14,0.34,0.0,5.87,5.17,3.45,0.0,1.03,0.34,0.0,0.34,1.03,0.69,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.3,0.16,0.3,4.0,9.0,31.0,6.0,26.0,7.0,25.3,7.0,0.0,2.0,17.5,1.0,90.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.34,2.76,1.72,1.72,0.0,0.0,0.0,7.93,2.07,1.03,21.38,30.0,276.9,105.17,13.1,16.55,5.17,6.9,1.03,2.07,0.34,0.34,0.0,2.41,1.38,1.72,0.69,3.79,30.0,29.31,0.69,0.0,0.0,7.59,0.0,2.76,0.0,0.0,0.0,0.0,22.07,3.45,4.48,4.48,21.38,1.72,0.34,0.69,21.38,0.0,0.0,1.72,2.07,90.0,3.35,1.04,3.65,0.7,0.13,0.87,0.3,0.08,1.57,1.0,0.57,-0.06,1.56,1.1,0.46,-0.04,42.76,1.03,7.59,17.24,22.07,6.21,42.07,1.38,4.14,2.07,0.0,26.9,150.0,106.9,3.45,1.03,2.07,2.07,0.34,34.83,26.55,7.59,21.0,7.24,2.41,1.38,1.72,3.79,0.34,8.86,8.07,3.79,0.0,1.72,0.69,12.1,0.17,0.09,26.9,6.21,0.34,66.7,33.3,5.87,0.0,1.72,0.69,0.0,0.0,4.17,0.0,0.0,0.0,0.17,0.17,0.03,-0.17,-0.17,Left Winger
708,708,709.0,Brahim Díaz,ESP,MF,Milan,Serie A,22.0,1999.0,20.6,1.65,1.31,0.34,0.83,0.49,0.34,0.97,0.63,17.91,5.1,1.99,9.56,6.36,0.39,0.1,0.0,0.29,0.58,2.23,0.29,0.0,2.73,3.3,2.52,0.1,0.24,0.15,0.15,0.15,0.49,0.34,0.05,0.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.0,0.0,1.17,1.75,0.19,0.78,0.58,1.31,0.0,0.0,0.0,6.5,0.39,2.33,29.9,35.44,482.04,109.13,15.49,17.62,11.07,12.62,2.18,3.45,0.15,0.12,0.02,1.5,2.72,1.41,0.15,3.25,35.44,33.88,1.55,0.24,0.05,5.92,0.63,0.78,0.15,0.0,0.0,0.0,29.08,3.5,2.86,11.8,22.43,0.53,0.1,0.29,29.9,0.44,0.1,1.6,0.58,90.0,4.3,1.06,5.17,0.2,0.33,1.52,0.0,0.16,2.52,1.13,1.39,-0.04,2.58,1.17,1.42,-0.01,47.52,0.49,3.2,27.28,21.46,3.45,46.07,1.94,3.79,2.09,0.15,38.69,211.75,112.96,5.97,2.33,0.53,2.33,2.57,46.07,35.87,6.55,190.0,9.22,1.5,2.72,1.41,3.25,0.12,5.43,12.56,0.97,0.15,1.46,0.29,16.8,0.23,0.16,17.91,5.1,0.1,14.3,35.0,2.73,0.15,1.46,0.29,0.0,0.02,0.82,0.0,0.0,0.0,0.23,0.23,0.01,-0.08,-0.08,Attacking Midfield
1972,1972,1973.0,Brain Oddei,ITA,FW,Sassuolo,Serie A,19.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,470.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,90.0,90.0,1.0,90.0,1.0,0.0,0.0,23.0,3.0,2.0,1.0,1.0,0.03,1.7,0.9,0.7,0.16,70.0,0.0,30.0,0.0,40.0,10.0,70.0,10.0,10.0,10.0,0.0,80.0,650.0,430.0,10.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,10.0,0.0,10.0,1.0,0.11,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.1,-1.0,-1.0,Right Winger
