Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
191,Wojciech Szczęsny,POL,GK,Juventus,Serie A,33,1990,28,28,2472,27.5,0.95,0.11,0,0.18,0,0.95,0.01,0,4.65,9.82,23.05,4.65,1.22,5.56,1.39,14.15,0.4,0.76,1.02,89.89,0.95,3.38,2.44,0.62,0.11,0.29,0.51,0.11,0.11,0,0,14.7,Goalkeeper
192,Ciprian Tătărușanu,ROU,GK,Milan,Serie A,37,1986,16,16,1440,16,1.38,0.12,0.12,0.25,0.06,1.05,0.02,-0.26,5.88,12.19,29.56,4.69,2.06,5.19,2.61,12.19,0.56,0.81,1,90,1.38,3.81,2.5,0.56,0.19,0.25,0.25,0.12,0.12,0,0,14.4,Goalkeeper
193,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31,1992,38,38,3347,37.2,0.48,0.08,0,0.05,0.08,0.64,0.01,0.23,4.52,9.01,32.66,4.97,0.78,5.3,0.95,9.89,0.48,1.1,1.02,89.97,0.48,2.63,2.23,0.75,0.11,0.16,0.7,0.08,0.08,0,0,16.4,Goalkeeper
194,Pietro Terracciano,ITA,GK,Fiorentina,Serie A,33,1990,29,29,2610,29,1.31,0.21,0,0.1,0.07,1.14,0.01,-0.1,5.34,12.93,30.03,3.9,1.14,6.83,1.4,9.34,0.41,1.9,1,90,1.31,3.31,2.03,0.31,0.28,0.41,0.17,0.24,0.21,0.03,0,18.4,Goalkeeper
195,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,33,33,2970,33,1.55,0.06,0.03,0.21,0.03,1.28,0.01,-0.23,2.42,9.88,20.12,3.88,1.05,6.64,1.03,12.15,0.52,0.73,1,90,1.55,3.94,2.42,0.39,0.3,0.3,0.18,0.06,0.06,0,0,14.4,Goalkeeper
196,Mark Travers,IRL,GK,Bournemouth,Premier League,24,1999,12,11,1035,11.5,2.78,0.17,0,0.7,0.17,2.09,0.03,-0.52,6.17,13.39,21.74,4.7,2.77,10.26,3.81,19.91,0.43,0.43,0.96,90,2.78,5.74,3.13,0.17,0,0.78,0.17,0.17,0.17,0,0,10.5,Goalkeeper
197,Martin Turk,SVN,GK,Sampdoria,Serie A,19,2003,4,4,360,4,2.25,0.25,0,0.75,0,2,0.06,-0.25,8.75,19.5,24.75,3.75,8.78,10.75,14.08,15,0,0.5,1,90,2.25,7.5,5.25,0.25,0.25,0.5,0,0.5,0.25,0,0.25,12.3,Goalkeeper
198,Samir Ujkani,KVX,GK,Empoli,Serie A,34,1988,1,0,7,0.1,10,0,0,0,0,2,2.5,-8,0,0,20,10,185,10,270,10,0,0,0,70,10,10,0,0,0,0,0,0,0,0,0,0,Goalkeeper
199,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,34,1988,3,3,270,3,0.67,0,0,0.33,0,0.8,0.06,0.13,3,8.67,37.33,7,8.67,6,7.8,11.33,0.67,1.33,1,90,0.67,2.67,1.67,1,0,0,0.67,0.33,0,0.33,0,17.5,Goalkeeper
200,Guglielmo Vicario,ITA,GK,Empoli,Serie A,26,1996,31,31,2783,30.9,1.26,0.13,0,0.26,0.03,1.32,0.01,0.09,4.47,14.72,35.79,4.89,1.09,5.5,1.39,19.61,1.1,0.71,1,90.06,1.26,4.34,3.07,0.29,0.39,0.32,0.23,0.19,0.13,0.03,0.03,11.5,Goalkeeper
201,Iván Villar,ESP,GK,Celta Vigo,La Liga,25,1997,19,19,1710,19,1.26,0.16,0,0.32,0,1.17,0.02,-0.09,4.26,12.58,22.89,5.05,1.78,8.26,2.36,13.47,0.42,0.74,1,90,1.26,3.26,2,0.32,0.26,0.42,0.21,0.21,0.16,0,0.05,14.2,Goalkeeper
202,Danny Ward,WAL,GK,Leicester City,Premier League,29,1993,26,26,2340,26,1.77,0.08,0.08,0.23,0.15,1.4,0.01,-0.21,3.62,11.65,28.85,5.92,1.17,7.31,1.35,13.65,0.77,1.62,1,90,1.77,4.58,2.88,0.27,0.12,0.62,0.23,0.12,0.08,0.04,0,15.9,Goalkeeper
203,Axel Werner,ARG,GK,Elche,La Liga,27,1996,2,2,180,2,2,0,0,1,0,1.2,0.16,-0.8,2,10,26.5,4.5,17.45,8,16.9,13,0.5,0.5,1,90,2,4,2,0,0,1,0,0,0,0,0,14,Goalkeeper
204,Joseph Whitworth,ENG,GK,Crystal Palace,Premier League,19,2004,2,2,180,2,2.5,0,0,0,0,1.15,0.12,-1.35,4,13.5,34,4,15.05,7.5,18.35,12.5,0.5,1.5,1,90,2.5,5,2.5,0,0,1,0,0,0,0,0,15.4,Goalkeeper
205,Robin Zentner,GER,GK,Mainz 05,Bundesliga,28,1994,26,26,2340,26,1.5,0.12,0.04,0.08,0,1.36,0.01,-0.14,6.15,18.23,25.85,5.62,1.54,7.46,2.08,12.35,1.65,2.04,1,90,1.5,4.19,2.65,0.35,0.31,0.35,0.27,0.19,0.12,0.04,0.04,17.4,Goalkeeper
206,Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,27,1995,2,1,152,1.7,1.76,0,0,0.59,0,1.88,0.14,0.12,9.41,19.41,28.82,7.65,24.47,7.06,29.59,8.82,1.76,2.35,0.59,89.41,1.76,8.24,6.47,0,0.59,0,0,0,0,0,0,16.5,Goalkeeper
207,Jeroen Zoet,NED,GK,Spezia,Serie A,32,1991,5,4,334,3.7,1.08,0.27,0,0.27,0,0.76,0.04,-0.32,6.76,21.08,29.73,3.51,10.54,6.22,15.78,16.76,1.08,1.62,1.08,90.27,1.08,3.51,2.43,0,0.81,0.27,0,0.27,0.27,0,0,14.7,Goalkeeper
208,Petar Zovko,BIH,GK,Spezia,Serie A,21,2002,1,0,74,0.8,2.5,0,0,0,0,2.12,0.69,-0.37,8.75,26.25,28.75,3.75,43.88,16.25,63.88,30,1.25,2.5,0,92.5,2.5,3.75,1.25,0,0,0,0,0,0,0,0,17,Goalkeeper
