Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
85,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,24,1998,1,1,90,1,4,0,0,0,0,2.9,0.34,-1.1,2,2,22,7,24.3,2,20.5,3,0,0,1,90,4,10,6,0,1,0,0,0,0,0,0,9,Goalkeeper
86,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,25,1997,27,27,2430,27,1.19,0.04,0,0.19,0.04,1.25,0.01,0.1,3.7,9.33,31.67,4.52,1.07,7.11,1.35,10.93,0.56,1.37,1,90,1.19,4.41,3.26,0.7,0.11,0.19,0.41,0.04,0.04,0,0,17.1,Goalkeeper
87,Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,11,11,990,11,2,0,0.09,0,0.18,2,0.03,0.18,7,20.45,37.64,4.36,3.32,8.73,4.77,16,0.91,2,1,90,2,5.91,4.09,0.09,0.36,0.55,0.09,0,0,0,0,16.8,Goalkeeper
88,Alban Lafont,FRA,GK,Nantes,Ligue 1,24,1999,37,37,3329,37,1.46,0.24,0.03,0.16,0.11,1.48,0.01,0.13,5.11,13.95,25.46,5.46,0.96,6.68,1.33,13.32,1.14,1.05,1,89.97,1.46,4.84,3.49,0.19,0.38,0.43,0.3,0.24,0.24,0,0,12.3,Goalkeeper
89,Jean-Louis Leca,FRA,GK,Lens,Ligue 1,37,1985,1,1,90,1,1,0,0,0,0,1.6,0.4,0.6,9,14,29,5,36.8,10,20.4,20,1,0,1,90,1,4,3,1,0,0,0,0,0,0,0,8.2,Goalkeeper
90,Benjamin Lecomte,FRA,GK,Espanyol,La Liga,32,1991,10,10,899,10,1.4,0,0,0.2,0.1,1.04,0.03,-0.26,7.2,16,19.2,2.5,4.31,8,4.7,14.6,0.4,1.1,1,89.9,1.4,4,2.7,0.1,0.5,0.4,0.1,0,0,0,0,15.3,Goalkeeper
91,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,32,1991,19,19,1710,19,1.16,0.11,0,0.11,0,1.55,0.02,0.39,6.11,16.95,25,3.79,1.99,8.68,2.33,14.37,0.79,0.68,1,90,1.16,5.05,3.79,0.53,0.16,0.32,0.42,0.21,0.11,0.11,0,10.8,Goalkeeper
92,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30,1993,34,34,3060,34,1.41,0.24,0.03,0.18,0,1.39,0.01,-0.03,6.94,21.62,24.24,3.97,1.32,8.38,1.89,17.5,1.24,0.76,1,90,1.41,5.26,3.82,0.26,0.32,0.41,0.35,0.26,0.24,0.03,0,10.8,Goalkeeper
93,Bernd Leno,GER,GK,Fulham,Premier League,31,1992,36,36,3240,36,1.42,0.19,0.03,0.22,0.06,1.61,0.01,0.25,3.44,10.86,32.03,5.28,0.83,6.72,1,12.89,0.97,1.28,1,90,1.42,5.33,3.94,0.42,0.14,0.44,0.22,0.22,0.19,0.03,0,15,Goalkeeper
94,Donovan Léon,GUF,GK,Auxerre,Ligue 1,30,1992,2,2,180,2,1,0.5,0,0,0,0.95,0.06,-0.05,9.5,28.5,27.5,4,23.2,12,33.05,20.5,0,1,1,90,1,5.5,4.5,0.5,0.5,0,0,0.5,0.5,0,0,12.9,Goalkeeper
95,Benjamin Leroy,FRA,GK,Ajaccio,Ligue 1,34,1989,32,32,2798,31.1,1.93,0.26,0.03,0.32,0.03,1.53,0.01,-0.36,6.85,16.78,21.13,2.48,1.24,6.82,1.68,12.51,0.58,1.74,1.03,89.97,1.93,4.28,2.38,0.19,0.13,0.71,0.13,0.29,0.26,0,0.03,16.9,Goalkeeper
96,Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,32,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,30,0,190,10,110,10,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
97,Mateusz Lis,POL,GK,Troyes,Ligue 1,26,1997,9,8,751,8.3,1.93,0.24,0,0.24,0,1.98,0.03,0.05,4.7,15.3,28.31,4.94,4.24,9.4,4.51,18.55,1.45,1.57,0.96,90.48,1.93,6.14,4.1,0.12,0.36,0.48,0.12,0.36,0.24,0.12,0,14.4,Goalkeeper
