Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_p90),TklW_p90 (defense_p90),Def 3rd_p90 (defense_p90),Mid 3rd_p90 (defense_p90),Att 3rd_p90 (defense_p90),Challenges Tkl_p90 (defense_p90),Att_p90 (defense_p90),Lost_p90 (defense_p90),Blocks_p90 (defense_p90),Shots Blocked_p90 (defense_p90),Pass_p90 (defense_p90),Int_p90 (defense_p90),Tkl+Int_p90 (defense_p90),Clr_p90 (defense_p90),Err_p90 (defense_p90),True Interceptions_p90 (defense_p90),Shots Blocked_p90.1 (defense_p90),Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Challenges Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Lost_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),Percent of Dribblers Tackled (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),TO_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types TO_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Aerial Win Rate (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xAG_p90 (passing_p90),xA_p90 (passing_p90),A-xAG_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),Crosses into Penalty Area_p90 (passing_p90),Prog Passes_p90 (passing_p90),Prog Passes_p90 per 50 passes (passing_p90),KP p90 per 50 passes (passing_p90),xA per KP p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),TI_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Tkld_p90 (possession_p90),Carries_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Rec_p90 (possession_p90),PrgR_p90 (possession_p90),Prog Carries_p90 per 100 touches (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),Average Shot Distance (shooting_p90),Starts_p90 (stats_p90),Min_p90 (stats_p90),Gls_p90 (stats_p90),Ast_p90 (stats_p90),G+A_p90 (stats_p90),G-PK_p90 (stats_p90),PK_p90 (stats_p90),PKatt_p90 (stats_p90),CrdY_p90 (stats_p90),CrdR_p90 (stats_p90),xG_p90 (stats_p90),npxG_p90 (stats_p90),xAG_p90 (stats_p90),npxG+xAG_p90 (stats_p90),PrgC_p90 (stats_p90),PrgP_p90 (stats_p90),Prog Passes Received_p90 (stats_p90),G+A-PK_p90 (stats_p90),xG+xAG_p90 (stats_p90),TMPosition
1835,Alberto Moreno,ESP,DF,Villarreal,La Liga,30,1992,14.4,1.6,0.83,0.69,0.69,0.21,0.76,1.67,0.9,0.83,0.07,0.76,1.6,3.19,1.81,0,2.43,0.07,1.6,0.83,0.69,0.69,0.21,0.76,1.67,0.9,0.83,0.07,0.76,1.6,3.19,1.81,0,4.21,45.8,1.94,1.67,0.14,0.07,0.07,0,0,0.14,0.14,0,0,0,0,0,0.49,0,0,1.81,0.62,0.21,2.5,1.6,0.83,0,0,0,4.31,0.83,0.69,54.5,42.01,50.69,20.69,22.85,17.5,19.65,2.5,4.44,0.07,0.1,0.13,-0.03,0.83,1.25,1.67,0.42,3.26,3.88,0.99,0.16,50.69,42.85,7.43,1.04,0.07,0.28,2.5,5.9,0.49,0.21,0.21,0,42.01,0.42,0.9,90,2.65,1,2.65,1,0,0,0,0.03,0.79,1.41,-0.62,0,1.04,1.57,-0.52,0,60.56,1.88,17.15,20.69,22.99,1.94,60.56,1.11,0.42,0.56,34.03,2.85,2.22,0.49,1.18,0.42,38.12,6.74,4.71,0,1.04,0.21,0,0,0.14,0,0,0.06,0.06,0,-0.06,-0.06,20.7,0.97,90,0,0.07,0.07,0,0,0,0.49,0,0.06,0.06,0.1,0.16,2.85,3.26,6.74,0,0.01,Left-Back
2080,Alberto Perea,ESP,MF,Cádiz,La Liga,32,1990,0.5,4,0,4,0,0,0,0,0,4,0,4,0,4,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,4,0,0,2.5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,4,0,20,24,12,14,6,6,0,2,0,0,0,0,0,0,0,0,4,10,0,,24,24,0,0,0,0,2,0,0,0,0,0,20,0,0,90.8,15.2,0.8,36,0.8,1.6,4.8,3.2,0.67,1.2,2,-0.8,-0.33,0.64,2.36,-1.72,-0.58,40,0,14,12,14,0,40,12,4,6,10,0,0,0,0,2,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,Left Winger
832,Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,19.3,1.92,1.04,0.73,1.04,0.16,0.98,2.33,1.35,1.24,0.1,1.14,1.35,3.26,1.87,0,2.59,0.1,1.92,1.04,0.73,1.04,0.16,0.98,2.33,1.35,1.24,0.1,1.14,1.35,3.26,1.87,0,2.9,42.2,1.81,1.35,0,0.05,0.21,0.1,0.1,0.05,0.05,0,0,0,0,0,0.31,0.05,0.05,1.66,1.45,0,0.21,1.35,1.04,0,0,0,6.53,1.87,1.09,63.2,31.4,40.52,17.31,20.78,11.09,13.47,1.4,3.11,0.1,0.08,0.05,0.02,0.52,3.21,0.88,0.1,4.15,6.61,0.83,0.1,40.52,39.17,1.24,1.04,0.05,0.21,0.21,0.1,0,0,0,0,31.4,0.1,0.73,90.15,4.1,1.03,4.41,0.72,0.1,1.03,0.21,0.08,1.33,0.72,0.62,0.06,1.78,1.38,0.39,0.02,51.76,2.54,13.26,28.55,10.78,1.76,51.76,0.98,0.62,0.26,25.7,0.78,1.24,0.1,1.66,0.88,29.33,1.81,1.51,0,0.98,0.21,0,0,0,0,0,0.15,0.15,0.01,-0.15,-0.15,14.4,0.93,89.9,0,0.1,0.1,0,0,0,0.31,0.05,0.15,0.15,0.08,0.23,0.78,4.15,1.81,0.01,0.01,Defensive Midfield
981,Aleix García,ESP,MF,Girona,La Liga,25,1997,26,1.42,0.77,0.35,0.69,0.38,0.58,1.27,0.69,0.92,0.31,0.62,1.19,2.62,1.35,0.04,2.11,0.31,1.42,0.77,0.35,0.69,0.38,0.58,1.27,0.69,0.92,0.31,0.62,1.19,2.62,1.35,0.04,2.75,45.5,4.81,2.65,1.81,0.12,0.12,0,0.12,0.62,0.38,0.12,0.04,0,0,0.08,0.04,0,0,0.54,1.12,0.04,6.88,1.19,0.77,0,0,0,5.08,0.5,0.23,68.4,52.69,63.73,25.42,27.31,18.12,20.62,7,11.65,0.19,0.23,0.23,-0.04,2.46,5.92,0.88,0.38,6,5.69,2.33,0.09,63.73,55.42,7.81,3.88,0.12,1.65,6.88,0.5,3.38,1.35,1.62,0.04,52.69,0.5,0.85,90.09,2.66,1.04,2.66,0.98,0,0,0.09,0.03,0.73,1.65,-0.92,-0.02,0.99,1.56,-0.57,-0.02,71.81,2.62,14.85,38.58,18.85,0.88,71.81,1,0.5,0.35,40.04,1.58,1.35,0.27,0.73,0.46,50.08,2.92,2.2,0.04,1.23,0.54,0,0,0.15,0,0,0.07,0.07,0,-0.03,-0.03,23.2,1,89.88,0.04,0.19,0.23,0.04,0,0,0.04,0,0.07,0.07,0.23,0.3,1.58,6,2.92,0.01,0.01,Central Midfield
996,Aleix Garrido,ESP,FW,Barcelona,La Liga,19,2004,0.1,20,10,10,0,10,10,10,0,10,0,10,0,20,0,0,10,0,20,10,10,0,10,10,10,0,10,0,10,0,20,0,0,32.15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,20,30,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,30,0,0,0,0,10,0,0,0,0,0,20,0,0,89.76,3.58,1.06,5.45,0.16,0.98,1.63,0.65,0.13,1.38,0.81,0.57,0.04,1.35,1.07,0.27,0,70,0,40,0,30,10,70,10,0,10,40,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Midfield
2731,Aleix Vidal,ESP,"MF,FW",Espanyol,La Liga,33,1989,11.4,0.96,0.44,0.53,0.26,0.18,0.35,1.93,1.58,1.84,0.18,1.67,1.32,2.28,1.23,0,3.16,0.18,0.96,0.44,0.53,0.26,0.18,0.35,1.93,1.58,1.84,0.18,1.67,1.32,2.28,1.23,0,1.47,18.2,2.19,1.4,0.44,0.26,0,0,0.09,0.44,0.26,0.09,0,0,0,0.09,0.88,0.09,0.09,2.02,1.49,0.09,3.42,1.32,0.44,0,0,0,5.53,0.26,0.61,30,24.47,33.68,12.89,15.44,7.89,11.14,3.25,4.65,0.26,0.19,0.11,0.07,1.32,1.67,0.88,0.35,2.02,4.13,2.7,0.08,33.68,28.77,4.74,0.96,0.09,0.26,3.42,3.16,0.53,0,0.35,0,24.47,0.18,1.49,87.14,43.57,0.71,64.29,0.71,0.71,22.86,0.71,0.36,0.71,2.14,-1.43,-0.55,1.43,1.07,0.36,0.54,42.89,1.67,8.68,17.98,16.49,1.32,42.89,1.67,0.61,0.96,20.88,1.4,0.44,0.26,1.32,0.61,21.93,4.65,3.26,0,0.26,0.18,0,0,0,0,0,0.01,0.01,0,-0.01,-0.01,17.4,0.88,89.91,0,0.26,0.26,0,0,0,0.88,0.09,0.01,0.01,0.19,0.21,1.4,2.02,4.65,0.02,0.02,Right-Back
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,90.11,2.58,1,3.03,0.59,0.3,1,0.07,0.07,1.81,0.7,1.11,0.04,1.46,1.02,0.44,0.02,10,0,0,5,5,0,10,5,0,5,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Midfield
199,Alejandro Balde,ESP,DF,Barcelona,La Liga,19,2003,27.5,1.53,1.09,0.8,0.58,0.15,0.87,1.49,0.62,0.91,0.11,0.8,0.44,1.96,0.62,0.04,1.35,0.11,1.53,1.09,0.8,0.58,0.15,0.87,1.49,0.62,0.91,0.11,0.8,0.44,1.96,0.62,0.04,3.15,58.5,2.4,1.82,0,0.29,0.07,0.18,0.04,0.29,0.29,0,0,0,0,0,0.15,0,0,0.98,1.05,0.18,2.44,0.44,1.09,0,0,0,5.27,0.69,0.65,51.4,53.89,60.73,32.44,34.58,17.67,19.49,2.58,3.85,0.22,0.18,0.2,0.04,0.8,2.69,0.8,0.58,2.87,2.66,0.74,0.25,60.73,52.51,7.89,1.16,0,0.18,2.44,6.73,0,0,0,0,53.89,0.33,0.69,85.56,28.89,1.11,48.89,0,2.22,18.89,10,1.86,1.11,0,1.11,1.18,2.78,0.89,1.78,2.24,70.51,1.49,15.24,31.78,24.44,2.84,70.51,3.45,1.78,1.31,46.15,3.45,2.51,1.24,1.49,0.87,49.02,8.51,4.89,0.04,0.69,0.15,0,0.01,0,0,0,0.07,0.07,0,-0.03,-0.03,17.9,1.09,89.85,0.04,0.22,0.25,0.04,0,0,0.15,0,0.07,0.07,0.18,0.25,3.45,2.87,8.51,0.01,0.01,Left-Back
993,Alejandro Garnacho,ESP,"FW,MF",Manchester Utd,Premier League,18,2004,6.3,0.79,0.32,0.32,0,0.48,0.16,1.75,1.59,0.79,0,0.79,0.79,1.59,0.48,0,1.58,0,0.79,0.32,0.32,0,0.48,0.16,1.75,1.59,0.79,0,0.79,0.79,1.59,0.48,0,1.88,9.1,3.49,2.7,0,0.48,0.16,0.16,0,0.95,0.79,0,0.16,0,0,0,0.48,0,0,1.27,1.27,0.48,0.32,0.79,0.32,0,0,0,4.44,0.48,1.59,23.1,23.81,29.68,17.94,20.79,4.29,4.76,0.63,0.79,0.32,0.16,0.14,0.16,0.48,0.32,0.32,0,1.9,3.99,1.01,0.29,29.68,29.68,0,0,0,0.32,0.32,0,0,0,0,0,23.81,0,1.11,86.92,7.69,0,0,0,8.46,7.69,8.46,0.63,3.85,1.54,2.31,2.48,2.92,2.08,0.85,1.04,48.41,0.48,4.6,13.33,31.11,9.37,48.41,6.98,1.9,4.29,34.92,5.24,4.29,4.44,4.29,2.22,37.3,13.49,10.82,0.48,3.81,1.43,0.02,0.05,0,0,0,0.48,0.48,0.02,0,0,16.3,0.79,90.32,0.48,0.32,0.79,0.48,0,0,0.48,0,0.48,0.48,0.16,0.65,5.24,1.9,13.49,0.13,0.1,Left Winger
2155,Alejandro Pozo Pozo,ESP,DF,Almería,La Liga,24,1999,20.9,1.77,0.91,0.81,0.81,0.14,1.29,2.54,1.24,1.44,0.24,1.2,1.24,3.01,2.15,0.05,2.68,0.24,1.77,0.91,0.81,0.81,0.14,1.29,2.54,1.24,1.44,0.24,1.2,1.24,3.01,2.15,0.05,2.32,50.9,2.34,1.82,0.29,0.1,0.1,0,0.05,0.33,0.33,0,0,0,0,0,0.1,0,0,0.72,0.67,0.05,3.35,1.24,0.91,0,0.05,0,6.6,0.57,1.1,34.3,38.95,53.44,20.14,22.49,14.5,18.76,3.44,8.33,0.14,0.17,0.12,-0.03,1.15,1.91,1,0.77,3.06,3.93,1.48,0.1,53.44,43.64,9.43,0.62,0,0.24,3.35,8.8,0,0,0,0,38.95,0.38,1.53,90.04,2.74,1.01,3.03,0.65,0.18,1.08,0,0.07,1.34,1.12,0.22,-0.03,1.4,0.95,0.45,-0.01,63.3,2.63,21.1,27.56,15.26,1.44,63.3,1.15,0.57,0.48,29.9,2.11,1.48,0.48,1.29,0.43,34.5,4.31,3.33,0,0.48,0.1,0,0,0,0,0,0.02,0.02,0,-0.02,-0.02,20.4,0.96,89.95,0,0.14,0.14,0,0,0,0.1,0,0.02,0.02,0.17,0.2,2.11,3.06,4.31,0.01,0.01,Right-Back
2226,Alejandro Revuelta Montero,ESP,DF,Getafe,La Liga,23,2000,0,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,inf,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,,,inf,,inf,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,0,,inf,,,,,,,,,,,,,,,,,,Centre-Back
2599,Aleksa Terzić,SRB,DF,Fiorentina,Serie A,23,1999,10.4,1.54,0.87,0.87,0.38,0.29,1.06,2.02,0.96,1.25,0.38,0.87,0.48,2.02,1.54,0,1.73,0.38,1.54,0.87,0.87,0.38,0.29,1.06,2.02,0.96,1.25,0.38,0.87,0.48,2.02,1.54,0,2.64,52.4,4.13,3.08,0.58,0.38,0.1,0,0,0.48,0.29,0.1,0,0.1,0,0,0.19,0,0,0.38,1.15,0.29,7.6,0.48,0.87,0,0,0,5.67,0.67,0.87,43.8,55.96,69.62,24.81,27.12,22.98,28.08,7.02,10.77,0.1,0.18,0.18,-0.09,2.4,3.27,2.5,2.21,3.85,3.44,2.14,0.08,69.62,56.73,12.6,1.15,0,0.1,7.6,10.67,0.77,0,0.48,0,55.96,0.29,1.83,90,2.43,1,2.43,1,0,0,0,0.02,0.89,1.54,-0.65,-0.04,1.21,1.75,-0.54,0,79.23,2.5,21.15,32.79,26.15,0.87,79.23,2.6,1.54,0.77,46.54,4.71,2.69,0.38,1.35,0.67,49.13,5.87,5.94,0.1,0.96,0.19,0.01,0.05,0,0,0,0.04,0.04,0,0.06,0.06,24.8,0.77,89.9,0.1,0.1,0.19,0.1,0,0,0.19,0,0.04,0.04,0.18,0.22,4.71,3.85,5.87,0.02,0.02,Left-Back
1807,Aleksandar Mitrović,SRB,FW,Fulham,Premier League,28,1994,22.3,0.63,0.31,0.36,0.18,0.09,0.22,0.54,0.31,0.99,0.22,0.76,0.13,0.76,0.9,0.04,1.12,0.22,0.63,0.31,0.36,0.18,0.09,0.22,0.54,0.31,0.99,0.22,0.76,0.13,0.76,0.9,0.04,0.71,41.7,2.47,1.17,0,0.4,0.58,0.27,0.04,0.45,0.13,0,0.04,0.18,0.09,0,0.31,0,0,1.52,1.79,0.63,0.18,0.13,0.31,0.09,0,0,2.47,4.48,4.71,48.8,13.41,22.24,7.71,11.52,3.81,5.92,1.39,2.33,0.04,0.1,0.06,-0.06,0.72,1.17,0.45,0.04,1.97,7.35,2.68,0.08,22.24,21.79,0.45,0.04,0.18,0.4,0.18,0.13,0,0,0,0,13.41,0,1.08,89.89,3.49,0.97,4.34,0.4,0.51,1.77,0,0.05,0.74,1.49,-0.74,0,0.95,1.25,-0.3,0.01,36.5,1.21,3.54,17.58,15.65,6.46,36.14,2.11,1.03,0.99,20.22,1.08,0.67,0.45,2.91,2.6,28.97,4.35,2.96,0.63,3.81,1.21,0.01,0.02,0,0.18,0.36,0.67,0.39,0,-0.04,0.06,15.1,1.03,90.04,0.63,0.04,0.67,0.45,0.18,0.36,0.31,0,0.67,0.39,0.1,0.49,1.08,1.97,4.35,0.02,0.03,Centre-Forward
1034,Aleksandr Golovin,RUS,"MF,FW",Monaco,Ligue 1,27,1996,27.4,2.26,1.31,0.69,1.17,0.4,1.02,2.63,1.61,1.02,0.04,0.99,1.35,3.61,0.36,0,2.37,0.04,2.26,1.31,0.69,1.17,0.4,1.02,2.63,1.61,1.02,0.04,0.99,1.35,3.61,0.36,0,3.25,38.9,4.42,2.88,0.88,0.29,0.11,0.18,0.07,0.51,0.36,0.04,0.11,0,0,0,0.18,0,0,1.31,0.84,0.22,4.05,1.35,1.31,0,0,0,5.88,0.66,0.99,40,28.07,40.11,14.01,17.66,9.34,12.63,3.36,6.61,0.26,0.21,0.2,0.04,2.15,2.7,2.01,0.22,4.82,8.59,3.83,0.09,40.11,36.09,3.76,0.95,0.29,0.29,4.05,0.62,2.19,0.84,1.13,0.04,28.07,0.26,1.28,90,2.8,1.02,2.8,0.96,0,0,0,0.04,1.53,1.66,-0.13,-0.02,1.57,1.59,-0.02,0.01,50.44,0.8,6.72,20.95,24.09,3.1,50.44,1.79,0.99,0.51,35.88,3.25,2.23,1.02,1.75,1.17,32.45,7.66,6.44,0.29,1.79,0.91,0.01,0.01,0.07,0,0,0.19,0.19,0,0.1,0.1,19,1.06,89.93,0.29,0.26,0.55,0.29,0,0,0.18,0,0.19,0.19,0.21,0.41,3.25,4.82,7.66,0.02,0.01,Attacking Midfield
1800,Aleksei Miranchuk,RUS,MF,Torino,Serie A,27,1995,23.2,0.47,0.22,0.13,0.17,0.17,0.13,0.47,0.34,0.47,0,0.47,0.09,0.56,0.22,0,0.56,0,0.47,0.22,0.13,0.17,0.17,0.13,0.47,0.34,0.47,0,0.47,0.09,0.56,0.22,0,0.66,27.3,3.36,2.89,0.13,0.04,0.13,0.13,0.04,0.39,0.3,0,0,0.04,0.04,0,0,0,0,0.39,0.95,0.04,1.29,0.09,0.22,0.04,0,0,3.97,0.43,0.91,32.3,28.15,35.39,14.87,17.16,9.44,11.34,2.33,4.31,0.22,0.18,0.14,0.03,1.85,3.15,1.38,0.3,4.27,7.58,3.29,0.08,35.39,33.88,1.38,0.22,0.39,0.22,1.29,0.34,0.82,0.56,0,0,28.15,0.13,0.69,90,8.93,0.71,26.07,0.36,2.86,4.64,10,0.25,0.71,1.79,-1.07,-0.28,1.07,2.07,-0.96,-0.34,43.53,0.43,2.84,22.72,18.28,1.81,43.53,1.98,0.65,1.08,28.75,2.03,1.9,0.34,2.03,1.16,34.57,4.53,4.66,0.17,1.72,0.65,0,0.01,0.04,0,0,0.12,0.12,0,0.05,0.05,20.2,1.03,90.04,0.17,0.22,0.39,0.17,0,0,0,0,0.12,0.12,0.18,0.31,2.03,4.27,4.53,0.02,0.01,Attacking Midfield
238,Alessandro Bastoni,ITA,DF,Inter,Serie A,24,1999,24,1.71,0.83,0.83,0.58,0.29,0.46,1.12,0.67,1.12,0.54,0.58,1,2.71,1.88,0,2.12,0.54,1.71,0.83,0.83,0.58,0.29,0.46,1.12,0.67,1.12,0.54,0.58,1,2.71,1.88,0,3.45,40.7,2.17,1.79,0.17,0.04,0.08,0.08,0,0.21,0.12,0.04,0,0,0.04,0,0.12,0,0,0.79,0.62,0.04,2.04,1,0.83,0,0,0,4.88,1.62,0.96,62.9,57.67,69.62,20.25,22.46,28.21,31.29,8.62,13.5,0.08,0.11,0.12,-0.03,0.62,5.42,1.21,0.46,5.88,5.1,0.54,0.19,69.62,62.92,6.33,2.21,0.08,1,2.04,3.21,0,0,0,0,57.67,0.38,1,82,28,0,0,0,6,28,60,4,2,2,0,-1.12,1.6,2,-0.4,-2.02,77.38,8.38,33.17,34.21,10.42,1.25,77.38,0.62,0.33,0.25,47.38,1.96,1.29,0.12,0.54,0.25,54.58,1.83,2.53,0,0.5,0.12,0,0,0,0,0,0.04,0.04,0,-0.04,-0.04,13.1,1.08,89.96,0,0.08,0.08,0,0,0,0.12,0,0.04,0.04,0.11,0.15,1.96,5.88,1.83,0,0.01,Centre-Back
308,Alessandro Bianco,ITA,MF,Fiorentina,Serie A,20,2002,1.7,2.94,1.18,1.18,1.76,0,1.18,1.76,0.59,0.59,0,0.59,0,2.94,0,0,0.59,0,2.94,1.18,1.18,1.76,0,1.18,1.76,0.59,0.59,0,0.59,0,2.94,0,0,3.84,66.7,2.35,1.76,0,0,0,0.59,0,0,0,0,0,0,0,0,0.59,0,0,4.12,2.35,0,0.59,0,1.18,0,0,0,4.71,1.18,1.18,50,39.41,45.88,17.06,20,16.47,20,5.29,5.29,0,0,0,0,0.59,6.47,0.59,0,5.29,6.71,0.75,0,45.88,44.71,1.18,1.18,0,1.76,0.59,0,0,0,0,0,39.41,0,0,105,25,0,0,0,20,25,15,10,5,0,5,19.95,1.5,1.5,0,-0.15,53.53,1.18,10.59,34.71,8.24,0.59,53.53,1.18,0,0,28.82,2.35,0.59,0,1.18,2.94,40,1.18,4.39,0,1.18,0.59,0,0,0,0,0,0.06,0.06,0.02,-0.06,-0.06,25.2,1.18,90,0,0,0,0,0,0,0.59,0,0.06,0.06,0,0.06,2.35,5.29,1.18,0,0.03,Central Midfield
405,Alessandro Buongiorno,ITA,DF,Torino,Serie A,24,1999,30.2,1.26,0.83,0.73,0.53,0,0.53,1.03,0.5,1.26,0.63,0.63,1.99,3.25,3.48,0.07,3.25,0.63,1.26,0.83,0.73,0.53,0,0.53,1.03,0.5,1.26,0.63,0.63,1.99,3.25,3.48,0.07,3.81,51.6,0.73,0.56,0,0,0.07,0.03,0.07,0.13,0.1,0,0,0.03,0,0,0.26,0,0,2.12,1.26,0,0.26,1.99,0.83,0,0,0,5.53,3.28,1.72,65.6,44.11,52.09,19.14,21.29,22.22,24.83,1.89,3.74,0.07,0.04,0.03,0.02,0.26,2.32,0.17,0.1,2.68,3.04,0.29,0.12,52.09,50.56,1.36,0.99,0.03,0.1,0.26,0.2,0,0,0,0,44.11,0.17,0.7,89.87,2.43,0.96,2.78,0.64,0.22,0.99,0.03,0.03,1.02,1.15,-0.13,0.06,1.23,1.27,-0.04,0.04,64.17,5.33,28.48,32.32,3.64,1.09,64.17,0.53,0.2,0.23,32.65,0.43,0.53,0.07,1.09,0.2,39.07,0.63,0.67,0.03,0.66,0.03,0,0.03,0,0,0,0.07,0.07,0,-0.04,-0.04,8.6,0.99,90.1,0.03,0.07,0.1,0.03,0,0,0.26,0,0.07,0.07,0.04,0.12,0.43,2.68,0.63,0,0,Centre-Back
591,Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,22,2001,0.1,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,10,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,50,60,30,30,20,20,0,10,0,0,0,0,0,0,20,10,20,20,0,,60,60,0,0,0,0,10,0,0,0,0,0,50,0,0,90,3.33,1,3.33,1,0,0,0.15,0.03,0.93,1.74,-0.81,0.01,1.04,1.64,-0.6,0.02,80,0,30,0,50,0,80,0,0,0,50,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,Attacking Midfield
