,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Vs Dribbles Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Past_p90 (defense_Padj_p90),Press_p90 (defense_Padj_p90),Succ Pressures_p90 (defense_Padj_p90),Pressures Def 3rd_p90 (defense_Padj_p90),Pressures Mid 3rd_p90 (defense_Padj_p90),Pressures Att 3rd_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),ShSv_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),Drib_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types Drib_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),AvgDist_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),TotDist Passed_p90 (passing_p90),PrgDist Passed_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xA_p90 (passing_p90),A-xA_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),CrsPA_p90 (passing_p90),Prog Passes_p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Press_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Ground_p90 (passing_types_p90),Low_p90 (passing_types_p90),High_p90 (passing_types_p90),Left_p90 (passing_types_p90),Right_p90 (passing_types_p90),Head_p90 (passing_types_p90),TI_p90 (passing_types_p90),Other_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Outcomes Out_p90 (passing_types_p90),Int_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),#Pl_p90 (possession_p90),Megs_p90 (possession_p90),Carries_p90 (possession_p90),TotDist Carried_p90 (possession_p90),PrgDist Carried_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Targ_p90 (possession_p90),Rec_p90 (possession_p90),Receiving Prog_p90 (possession_p90),Prog Actions (possession_p90),Prog Actions_p90 (possession_p90),KP_p90 (possession_p90),Passes into Final 1/3_p90 (possession_p90),Passes into Penalty Area_p90 (possession_p90),Prog Passes_p90 (possession_p90),xA_p90 (possession_p90),Prog Passes_p90 per 50 passes (possession_p90),Gls_p90 (possession_p90),Sh_p90 (possession_p90),SoT_p90 (possession_p90),npxG_p90 (possession_p90),npxG/Sh_p90 (possession_p90),Press_p90 (possession_p90),Succ Pressures_p90 (possession_p90),Aerial Win % (possession_p90),% of Dribblers Tackled (possession_p90),Padj Tkl+Int p90 (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),Dist_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),TMPosition
1391,1391,1392.0,Ezri Konsa,ENG,DF,Aston Villa,Premier League,24.0,1997.0,25.0,0.96,0.56,0.52,0.4,0.04,0.28,0.52,0.24,6.28,2.24,3.56,2.2,0.52,1.6,0.8,0.0,0.8,1.6,2.56,2.8,0.04,2.13,0.4,0.32,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.08,0.04,0.52,1.24,0.04,0.04,1.6,0.56,0.0,0.04,0.0,6.72,2.2,1.56,30.48,34.96,604.04,181.16,9.08,10.0,16.88,18.08,4.0,6.04,0.0,0.01,-0.01,0.16,0.96,0.0,0.0,1.2,34.96,33.44,1.52,1.24,0.0,3.8,0.64,0.04,0.0,0.0,0.0,0.0,26.92,3.24,4.8,3.32,28.12,1.88,0.24,0.24,30.48,0.0,0.72,0.68,0.36,89.96,3.22,1.05,3.33,0.85,0.04,0.39,0.12,0.04,0.78,1.74,-0.97,0.03,0.88,1.55,-0.67,0.02,43.24,7.6,25.16,17.84,2.72,1.4,42.04,0.2,0.24,0.2,0.0,25.92,117.56,62.76,1.12,0.32,0.0,0.36,0.24,28.56,27.12,0.28,58.0,2.3200000000000003,0.16,0.96,0.0,1.2,0.01,1.97,0.08,0.6,0.24,0.06,0.0,6.28,2.24,58.5,53.8,2.13,0.08,0.6,0.24,0.01,0.01,0.28,0.0,0.0,0.0,0.06,0.06,0.0,0.02,0.02,Centre-Back
362,362,363.0,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27.0,1995.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,28.75,31.75,649.5,354.25,9.25,9.25,14.25,14.25,5.0,8.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,31.75,21.75,10.0,0.75,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,25.25,0.75,5.75,15.0,10.25,0.0,0.0,5.5,28.75,0.0,0.25,0.25,0.0,89.32,4.07,0.68,13.73,0.17,3.05,1.86,1.02,0.32,1.36,1.02,0.34,-0.05,1.47,1.32,0.15,-0.08,35.25,29.25,35.0,0.25,0.0,0.0,25.5,0.0,0.0,0.0,0.0,15.25,51.75,18.75,0.0,0.0,0.0,0.25,0.0,14.25,14.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
655,655,656.0,Fabian Delph,ENG,MF,Everton,Premier League,32.0,1989.0,5.5,2.73,1.64,1.09,1.64,0.0,0.91,3.27,2.36,18.55,4.73,4.55,11.82,2.18,1.82,0.91,0.0,0.91,3.09,5.82,1.64,0.0,3.49,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.0,0.0,1.64,0.73,0.0,0.18,3.09,1.64,0.0,0.0,0.0,10.36,0.36,0.36,31.27,38.0,616.36,160.36,14.73,16.0,10.55,12.55,5.64,7.64,0.0,0.02,-0.02,0.36,3.27,0.36,0.0,3.82,38.0,37.09,0.91,0.73,0.0,9.27,1.27,0.18,0.0,0.0,0.0,0.0,28.36,3.27,6.36,24.18,11.64,1.45,0.18,0.18,31.27,0.18,0.36,0.73,1.09,90.0,90.0,2.0,90.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,-8.0,-15.88,0.4,1.8,-1.4,-2.44,49.45,4.0,15.09,29.64,7.09,0.0,48.91,0.73,0.91,0.73,0.0,29.09,127.27,56.36,2.36,0.18,0.0,1.27,0.36,29.27,27.82,0.55,34.0,6.18,0.36,3.27,0.36,3.82,0.02,6.11,0.0,0.18,0.0,0.0,0.0,18.55,4.73,50.0,27.8,3.49,0.0,0.18,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Midfield
1365,1365,1366.0,Fabian Klos,GER,FW,Arminia,Bundesliga,34.0,1987.0,15.8,0.38,0.06,0.06,0.32,0.0,0.0,0.57,0.57,16.01,4.3,0.89,6.46,8.67,0.82,0.19,0.0,0.63,0.38,0.76,1.77,0.06,0.41,1.52,1.33,0.0,0.13,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.06,0.0,2.09,1.01,0.19,1.2,0.38,0.06,0.0,0.0,0.0,4.49,8.48,7.91,15.0,28.04,241.33,71.52,8.99,13.35,3.92,9.3,1.65,3.35,0.06,0.08,-0.02,0.95,2.09,0.51,0.13,2.53,28.04,26.65,1.39,0.0,0.06,11.9,0.57,1.2,0.0,0.0,0.0,0.0,8.67,10.0,9.37,2.78,13.61,3.8,0.38,0.57,15.0,0.32,0.57,1.46,1.14,89.71,6.0,0.95,7.81,0.57,0.48,2.29,0.38,0.12,0.86,1.62,-0.76,-0.06,1.3,1.44,-0.14,-0.02,39.37,1.84,4.05,19.49,17.15,4.81,37.85,0.63,0.95,0.63,0.0,16.2,56.08,24.56,1.46,0.25,0.32,2.91,1.27,51.46,29.18,5.38,63.0,3.99,0.95,2.09,0.51,2.53,0.08,8.43,0.19,2.34,0.89,0.22,0.01,16.01,4.3,51.7,0.0,0.41,0.19,2.34,0.89,0.0,0.0,1.01,0.0,0.13,0.13,0.32,0.22,0.01,-0.13,-0.16,Centre-Forward
1424,1424,1425.0,Fabian Kunze,GER,MF,Arminia,Bundesliga,23.0,1998.0,13.7,2.7,1.68,1.09,1.61,0.0,1.09,2.12,1.02,20.29,5.33,6.79,11.9,1.61,1.53,0.0,0.0,1.53,2.12,4.82,2.34,0.0,2.57,1.09,0.73,0.0,0.15,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.0,0.0,2.99,1.75,0.0,0.51,2.12,1.68,0.0,0.0,0.0,12.77,3.14,2.26,26.13,35.18,472.04,123.07,11.9,14.31,10.22,13.14,3.36,5.77,0.0,0.01,-0.01,0.36,2.34,0.51,0.22,2.48,35.18,34.23,0.95,0.73,0.0,7.08,0.58,0.51,0.0,0.0,0.0,0.0,20.0,7.66,7.52,4.16,24.67,3.43,0.22,0.15,26.13,0.07,1.02,1.39,1.09,90.25,5.68,0.93,7.46,0.76,0.42,1.69,1.1,0.1,1.1,1.61,-0.51,-0.05,1.48,1.53,-0.05,0.02,47.96,2.48,13.58,29.05,7.59,0.51,47.15,0.95,1.61,0.95,0.07,24.89,95.69,46.57,2.26,0.8,0.07,0.36,1.46,26.57,23.28,0.8,65.0,4.74,0.36,2.34,0.51,2.48,0.01,4.75,0.0,0.8,0.07,0.02,0.0,20.29,5.33,58.1,51.7,2.57,0.0,0.8,0.07,0.0,0.0,1.82,0.0,0.0,0.0,0.02,0.02,0.0,-0.02,-0.02,Defensive Midfield
2372,2372,2373.0,Fabian Schär,SUI,DF,Newcastle Utd,Premier League,30.0,1991.0,23.4,0.81,0.43,0.6,0.17,0.04,0.47,0.64,0.17,6.28,1.92,3.42,2.18,0.68,1.62,0.81,0.09,0.81,3.16,3.97,5.13,0.09,2.04,1.03,0.68,0.13,0.09,0.09,0.04,0.0,0.17,0.13,0.0,0.04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.0,0.0,1.32,0.51,0.09,0.21,3.16,0.43,0.0,0.0,0.0,8.55,2.05,1.88,27.95,39.4,726.54,312.26,6.79,8.12,13.08,15.17,7.99,15.64,0.09,0.03,0.06,0.26,3.08,0.56,0.04,1.79,39.4,35.9,3.5,3.03,0.09,3.93,2.61,0.21,0.0,0.0,0.0,0.0,21.71,3.63,14.06,4.91,30.73,2.18,0.47,0.09,27.95,0.26,1.24,1.58,0.51,90.08,3.21,1.02,3.32,0.98,0.04,0.57,0.0,0.05,1.55,1.28,0.26,0.03,1.61,1.34,0.28,0.02,50.81,8.55,29.15,22.56,2.91,0.98,47.26,0.3,0.47,0.34,0.0,27.61,171.71,102.39,2.14,0.56,0.0,0.17,0.26,27.74,26.88,0.13,92.0,3.93,0.26,3.08,0.56,1.79,0.03,3.2,0.09,0.81,0.26,0.06,0.0,6.28,1.92,52.2,73.3,2.04,0.09,0.81,0.26,0.0,0.01,0.72,0.13,0.0,0.0,0.06,0.06,0.0,0.03,0.03,Centre-Back
2009,2009,2010.0,Fabiano Parisi,ITA,DF,Empoli,Serie A,21.0,2000.0,14.4,2.43,1.53,1.53,0.76,0.14,0.56,1.53,0.97,17.22,5.9,7.99,6.6,2.64,2.57,0.49,0.0,2.08,3.26,5.69,1.46,0.0,5.18,2.01,1.39,0.07,0.42,0.07,0.0,0.07,0.35,0.21,0.0,0.14,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,0.0,1.67,2.01,0.0,2.01,3.26,1.53,0.0,0.07,0.0,10.21,0.21,0.62,37.57,49.17,694.24,313.19,15.76,17.64,17.01,21.32,4.31,8.47,0.07,0.04,0.03,0.69,3.75,1.53,0.0,5.0,49.17,38.06,11.11,1.18,0.0,5.07,0.49,2.01,0.07,0.0,0.0,0.0,25.49,11.39,12.29,36.81,1.74,0.69,9.86,0.0,37.57,0.21,0.83,1.94,1.74,90.43,11.28,1.06,14.26,0.0,0.64,6.17,2.98,0.11,0.43,1.91,-1.49,-0.23,0.89,1.64,-0.74,-0.09,64.31,4.72,23.33,29.24,18.19,1.25,53.89,1.25,3.33,1.46,0.0,40.76,250.35,155.49,6.67,3.12,0.35,1.6,1.6,34.51,32.57,0.97,168.0,11.67,0.69,3.75,1.53,5.0,0.04,6.65,0.0,1.04,0.35,0.03,0.0,17.22,5.9,25.0,36.4,5.18,0.0,1.04,0.35,0.0,0.0,1.6,0.0,0.0,0.0,0.03,0.03,0.0,-0.03,-0.03,Left-Back
487,487,488.0,Fabien Centonze,FRA,DF,Metz,Ligue 1,26.0,1996.0,17.6,2.5,1.53,1.53,0.74,0.23,0.85,1.7,0.85,13.81,4.15,6.08,5.4,2.33,2.44,0.4,0.0,2.05,2.73,5.23,2.78,0.0,3.45,1.36,0.91,0.06,0.11,0.06,0.17,0.06,0.11,0.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.0,0.0,1.08,1.7,0.0,1.7,2.73,1.53,0.0,0.0,0.0,7.27,0.97,0.8,35.28,43.86,576.25,251.65,17.84,20.17,14.66,17.5,2.22,4.49,0.06,0.03,0.02,0.57,1.76,0.8,0.34,2.5,43.86,35.8,8.07,0.8,0.0,3.81,0.8,1.7,0.0,0.0,0.0,0.0,27.27,7.61,8.98,6.42,27.61,1.99,7.27,0.0,35.28,0.06,0.34,1.59,1.31,90.12,3.49,1.08,3.49,0.79,0.0,0.0,0.0,0.04,0.87,1.2,-0.33,0.08,0.89,1.65,-0.76,0.04,59.77,4.38,20.85,27.33,15.51,1.02,51.87,1.99,3.18,1.99,0.06,35.28,205.68,125.51,5.85,1.31,0.23,1.7,1.25,36.82,33.07,1.82,147.0,8.35,0.57,1.76,0.8,2.5,0.03,3.54,0.23,0.85,0.4,0.05,0.0,13.81,4.15,54.8,50.0,3.45,0.23,0.85,0.4,0.02,0.03,1.22,0.0,0.0,0.0,0.05,0.05,0.0,0.18,0.18,Right-Back
1477,1477,1478.0,Fabien Lemoine,FRA,MF,Lorient,Ligue 1,35.0,1987.0,10.0,3.3,2.4,1.6,1.4,0.3,1.2,3.9,2.7,25.1,7.8,10.9,11.9,2.3,1.5,0.3,0.0,1.2,1.7,5.0,1.8,0.0,3.52,1.5,1.4,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.0,1.9,1.6,0.0,0.3,1.7,2.4,0.0,0.0,0.0,12.3,0.8,0.8,62.8,71.3,1210.0,304.1,23.4,26.3,28.9,30.9,8.8,11.6,0.1,0.09,0.01,0.9,4.2,0.4,0.1,5.1,71.3,69.0,2.3,1.9,0.1,11.9,2.2,0.3,0.1,0.0,0.1,0.0,51.8,8.9,10.6,6.8,60.8,2.4,0.3,0.3,62.8,0.0,0.9,2.2,0.5,90.11,2.8,1.04,3.06,0.45,0.15,1.08,0.0,0.06,1.68,1.23,0.45,-0.01,1.47,1.28,0.19,0.0,80.8,3.3,21.8,51.5,11.1,0.6,78.8,0.7,1.2,0.8,0.0,53.5,199.6,91.2,4.2,1.5,0.0,0.8,0.5,61.1,57.1,0.6,93.0,9.3,0.9,4.2,0.4,5.1,0.09,4.06,0.0,0.3,0.0,0.03,0.01,25.1,7.8,50.0,30.8,3.52,0.0,0.3,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.03,0.03,0.01,-0.03,-0.03,Defensive Midfield
827,827,828.0,Fabinho,BRA,MF,Liverpool,Premier League,28.0,1993.0,24.4,2.21,1.43,0.7,1.27,0.25,0.74,2.46,1.72,16.02,5.04,5.12,8.57,2.34,1.89,0.37,0.0,1.52,2.17,4.39,1.15,0.0,6.81,1.48,1.15,0.0,0.0,0.12,0.16,0.04,0.2,0.12,0.0,0.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.0,0.0,1.72,1.6,0.0,0.25,2.17,1.43,0.0,0.0,0.0,12.17,1.68,1.11,52.62,59.71,962.46,219.14,21.56,23.77,24.75,26.97,5.41,7.13,0.04,0.05,-0.01,0.57,5.7,0.61,0.04,4.14,59.71,58.4,1.31,1.27,0.04,8.98,0.7,0.25,0.0,0.0,0.0,0.0,44.67,6.43,8.61,4.43,50.9,2.95,0.04,0.2,52.62,0.08,0.66,0.98,0.86,60.0,60.0,0.0,0.0,0.0,10.0,60.0,20.0,10.0,0.0,0.0,0.0,-5.2,0.0,0.0,0.0,-11.0,69.8,1.89,15.16,45.16,12.62,0.86,68.4,0.33,0.41,0.33,0.0,44.43,176.35,85.78,4.22,0.9,0.12,0.86,0.66,49.22,47.34,1.43,204.0,8.36,0.57,5.7,0.61,4.14,0.05,3.93,0.2,0.78,0.29,0.08,0.0,16.02,5.04,60.3,30.0,6.81,0.2,0.78,0.29,0.01,0.02,0.77,0.04,0.08,0.08,0.14,0.08,0.0,0.07,0.05,Defensive Midfield
666,666,667.0,Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25.0,1997.0,6.7,1.34,0.6,0.6,0.45,0.3,0.15,0.9,0.75,15.67,4.78,5.52,6.87,3.28,1.79,0.3,0.0,1.49,1.19,2.54,2.54,0.0,2.68,1.34,1.04,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.0,0.0,2.84,1.19,0.45,3.28,1.19,0.6,0.0,0.0,0.0,7.76,1.04,1.79,22.54,36.72,391.49,204.03,11.04,14.63,9.1,12.39,2.09,7.01,0.15,0.04,0.1,0.45,1.34,1.94,0.6,3.28,36.72,28.96,7.76,0.15,0.0,5.52,0.9,3.28,0.0,0.0,0.0,0.0,14.48,10.75,11.49,1.64,25.37,1.19,7.61,0.15,22.54,0.45,1.34,2.54,2.84,86.67,16.67,0.0,0.0,0.0,8.33,16.67,10.0,2.0,1.67,0.0,1.67,2.88,1.5,0.83,0.67,2.08,47.01,2.54,9.55,20.15,20.45,2.09,39.4,1.19,1.79,1.49,0.15,25.37,115.97,67.16,3.58,1.79,0.3,0.75,0.75,29.1,24.33,1.64,46.0,6.859999999999999,0.45,1.34,1.94,3.28,0.04,7.28,0.15,1.04,0.45,0.06,0.01,15.67,4.78,36.8,16.7,2.68,0.15,1.04,0.45,0.02,0.05,2.34,0.0,0.0,0.0,0.06,0.06,0.01,0.09,0.09,Right-Back
1773,1773,1774.0,Fabio Miretti,ITA,MF,Juventus,Serie A,18.0,2003.0,0.9,4.44,2.22,0.0,4.44,0.0,1.11,3.33,2.22,38.89,12.22,10.0,16.67,12.22,0.0,0.0,0.0,0.0,0.0,4.44,1.11,0.0,5.12,4.44,1.11,3.33,0.0,0.0,0.0,0.0,1.11,0.0,1.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.33,1.11,0.0,1.11,0.0,2.22,0.0,0.0,0.0,3.33,1.11,1.11,46.67,50.0,1075.56,410.0,13.33,13.33,21.11,21.11,12.22,15.56,0.0,0.33,-0.33,2.22,5.56,0.0,0.0,5.56,50.0,42.22,7.78,3.33,0.0,10.0,5.56,1.11,4.44,1.11,3.33,0.0,32.22,5.56,12.22,3.33,45.56,0.0,0.0,0.0,46.67,0.0,0.0,1.11,0.0,,,,,,,,inf,,,,,,,,,,58.89,1.11,11.11,36.67,14.44,4.44,52.22,0.0,0.0,0.0,0.0,44.44,171.11,102.22,5.56,0.0,0.0,3.33,0.0,45.56,43.33,6.67,10.0,11.12,2.22,5.56,0.0,5.56,0.33,5.96,0.0,2.22,0.0,0.11,0.06,38.89,12.22,50.0,33.3,5.12,0.0,2.22,0.0,0.0,0.0,16.89,0.0,0.0,0.0,0.11,0.11,0.06,-0.11,-0.11,Central Midfield
2144,2144,2145.0,Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,39.0,1983.0,17.5,0.23,0.17,0.0,0.17,0.06,0.0,0.51,0.51,15.83,3.89,3.03,5.14,7.66,0.8,0.06,0.0,0.74,0.63,0.86,0.63,0.0,0.72,2.46,1.71,0.06,0.29,0.29,0.06,0.06,0.34,0.29,0.0,0.06,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.0,0.0,1.09,1.77,0.74,0.91,0.63,0.17,0.0,0.0,0.0,4.63,1.26,2.11,17.83,26.06,324.17,68.46,8.51,10.91,5.89,8.17,2.57,4.4,0.11,0.11,0.0,1.09,1.26,0.86,0.23,1.71,26.06,23.94,2.11,0.0,0.0,7.03,1.6,0.91,0.0,0.0,0.0,0.0,14.57,5.49,6.0,5.89,17.43,1.49,0.11,0.29,17.83,0.11,0.51,1.43,1.66,inf,inf,,,,inf,inf,inf,inf,,,,inf,inf,inf,inf,inf,37.6,0.74,2.86,17.77,18.86,3.89,35.43,0.86,1.37,0.97,0.11,26.0,99.6,38.34,2.23,0.91,0.23,3.03,1.31,45.83,27.89,9.54,69.0,3.94,1.09,1.26,0.86,1.71,0.11,4.8,0.17,2.74,0.51,0.13,0.0,15.83,3.89,37.3,0.0,0.72,0.17,2.74,0.51,0.0,0.01,1.14,0.0,0.06,0.06,0.17,0.13,0.0,0.0,-0.02,Centre-Forward
2282,2282,2283.0,Fabián Ruiz Peña,ESP,MF,Napoli,Serie A,26.0,1996.0,24.8,2.02,1.49,0.85,0.93,0.24,1.09,2.54,1.45,17.58,5.73,5.56,7.9,4.11,1.41,0.08,0.0,1.33,1.53,3.55,1.13,0.0,4.91,3.1,2.9,0.0,0.0,0.08,0.08,0.04,0.36,0.36,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.0,0.0,0.81,0.93,0.04,0.56,1.53,1.49,0.0,0.0,0.0,8.75,0.52,0.65,75.08,83.63,1388.35,313.27,34.52,37.3,28.35,30.81,10.69,12.78,0.12,0.11,0.01,1.41,7.1,1.45,0.16,5.77,83.63,81.65,1.98,1.81,0.12,11.61,3.59,0.56,0.0,0.0,0.0,0.0,65.0,8.83,9.8,72.54,8.79,1.49,0.04,0.32,75.08,0.2,0.52,2.58,1.17,90.0,18.0,1.0,18.0,1.0,0.0,0.0,3.4,0.17,1.0,1.2,-0.2,0.05,1.48,1.08,0.4,0.15,92.7,2.9,20.0,55.85,23.35,1.45,90.81,0.44,0.6,0.44,0.08,64.72,290.97,156.61,6.21,2.34,0.36,0.77,0.69,78.51,74.8,3.35,297.0,11.98,1.41,7.1,1.45,5.77,0.11,3.84,0.24,1.53,0.44,0.06,0.0,17.58,5.73,44.8,42.9,4.91,0.24,1.53,0.44,0.01,0.02,0.91,0.0,0.0,0.0,0.06,0.06,0.0,0.18,0.18,Central Midfield
